CenterLatitude,CenterLongitude,sst
22.55,122.03,31.3
22.55,122,31.2
22.55,121.97,31.1
22.56,121.94,31.1
22.57,121.92,31
22.59,121.91,30.9
22.6,121.9,30.9
22.63,121.89,30.8
22.64,121.9,30.8
22.62,121.91,30.9
22.6,121.91,30.9
22.59,121.9,30.8
22.57,121.89,30.7
22.55,121.87,30.6
22.54,121.86,30.4
22.53,121.84,30.6
22.52,121.82,30.7
22.52,121.81,30.9
22.51,121.79,31.2
22.51,121.8,31.2
22.49,121.81,31.3
22.47,121.81,31.5
22.45,121.81,31.3
22.44,121.81,31.1
22.42,121.8,31
22.41,121.79,30.8
22.39,121.78,30.5
22.37,121.78,30.4
22.31,121.77,30.3
22.29,121.76,30.4
22.27,121.75,30.3
22.22,121.75,30.4
22.19,121.74,30.4
22.17,121.73,30.1
22.11,121.69,30.1
22.08,121.68,30.3
22.05,121.67,30.1
22.02,121.66,30
22.01,121.66,30.1
22,121.67,30
21.98,121.68,30.1
21.98,121.71,30.1
21.99,121.7,29.7
22,121.7,29.8
21.99,121.69,29.7
21.97,121.7,29.8
21.93,121.7,29.7
21.94,121.71,29.5
21.93,121.73,29.7
21.94,121.74,29.7
21.94,121.76,29.8
21.95,121.78,29.9
21.96,121.79,30
21.97,121.8,29.9
21.96,121.79,29.7
21.92,121.78,30.2
21.9,121.79,30.2
21.89,121.8,30.1
21.87,121.8,30.3
21.85,121.81,30.4
21.88,121.84,30.4
21.89,121.85,30.4
21.9,121.85,30.3
21.91,121.85,30.4
21.91,121.84,30.4
21.91,121.82,30.4
21.91,121.81,30.4
21.92,121.8,30.4
21.94,121.8,30.4
21.95,121.8,30.4
21.97,121.81,30.4
21.98,121.82,30.2
22,121.83,30.2
22.01,121.84,30.3
22.01,121.85,30.4
22,121.85,30.3
21.99,121.84,30.4
21.99,121.83,30.5
22,121.83,30.5
22.01,121.83,30.2
22.01,121.82,30.2
22,121.8,30.1
21.98,121.79,30
21.96,121.78,30.1
21.95,121.76,30.3
21.92,121.7,29.8
21.91,121.7,29.9
21.93,121.71,29.9
21.94,121.72,30
