time,site,Wind,Wind_Dir,SST,Hs
2010-01-01 00:00:00,Longdong,4.6,65.0,18.1,1.5
2010-01-01 01:00:00,Longdong,4.3,69.0,18.1,1.83
2010-01-01 02:00:00,Longdong,4.9,78.0,18.1,2.07
2010-01-01 03:00:00,Longdong,4.7,64.0,18.0,2.13
2010-01-01 04:00:00,Longdong,4.7,67.0,18.2,2.32
2010-01-01 05:00:00,Longdong,4.7,65.0,18.1,2.42
2010-01-01 06:00:00,Longdong,4.5,63.0,17.9,2.03
2010-01-01 07:00:00,Longdong,4.0,79.0,17.9,1.84
2010-01-01 08:00:00,Longdong,3.6,108.0,17.9,1.44
2010-01-01 09:00:00,Longdong,3.9,119.0,17.8,1.27
2010-01-01 10:00:00,Longdong,4.8,102.0,17.9,1.14
2010-01-01 11:00:00,Longdong,3.3,111.0,17.9,1.09
2010-01-01 12:00:00,Longdong,3.1,96.0,17.9,0.96
2010-01-01 13:00:00,Longdong,4.3,160.0,17.9,1.07
2010-01-01 14:00:00,Longdong,4.6,114.0,17.9,1.3
2010-01-01 15:00:00,Longdong,4.8,132.0,17.9,1.87
2010-01-01 16:00:00,Longdong,4.0,176.0,17.9,1.51
2010-01-01 17:00:00,Longdong,3.1,221.0,17.9,1.51
2010-01-01 18:00:00,Longdong,3.1,221.0,17.9,1.27
2010-01-01 19:00:00,Longdong,3.1,214.0,17.9,1.43
2010-01-01 20:00:00,Longdong,3.5,228.0,17.8,1.1
2010-01-01 21:00:00,Longdong,2.5,198.0,17.8,0.94
2010-01-01 22:00:00,Longdong,3.3,233.0,17.7,0.96
2010-01-01 23:00:00,Longdong,1.5,251.0,17.7,0.78
2010-01-02 00:00:00,Longdong,1.2,162.0,17.7,0.83
2010-01-02 01:00:00,Longdong,1.2,126.0,17.7,0.84
2010-01-02 02:00:00,Longdong,,,17.6,1.08
2010-01-02 03:00:00,Longdong,1.3,214.0,17.7,1.07
2010-01-02 04:00:00,Longdong,,,17.6,1.18
2010-01-02 05:00:00,Longdong,,,17.6,1.13
2010-01-02 06:00:00,Longdong,4.1,340.0,17.5,1.09
2010-01-02 07:00:00,Longdong,,,17.7,1.13
2010-01-02 08:00:00,Longdong,7.3,331.0,17.6,0.83
2010-01-02 09:00:00,Longdong,2.4,193.0,17.7,0.74
2010-01-02 10:00:00,Longdong,1.6,258.0,17.7,0.7
2010-01-02 11:00:00,Longdong,3.3,289.0,17.7,0.58
2010-01-02 12:00:00,Longdong,4.3,330.0,17.6,0.56
2010-01-02 13:00:00,Longdong,4.3,323.0,17.6,0.58
2010-01-02 14:00:00,Longdong,7.8,337.0,17.8,0.58
2010-01-02 15:00:00,Longdong,3.8,340.0,17.7,0.77
2010-01-02 16:00:00,Longdong,6.6,354.0,17.7,0.88
2010-01-02 17:00:00,Longdong,5.9,341.0,17.6,0.94
2010-01-02 18:00:00,Longdong,7.3,356.0,17.6,0.94
2010-01-02 19:00:00,Longdong,8.3,353.0,17.2,0.89
2010-01-02 20:00:00,Longdong,8.0,342.0,17.5,0.76
2010-01-02 21:00:00,Longdong,6.6,333.0,17.6,0.69
2010-01-02 22:00:00,Longdong,7.5,3.0,17.8,0.73
2010-01-02 23:00:00,Longdong,6.4,359.0,17.7,0.81
2010-01-03 00:00:00,Longdong,6.1,2.0,17.8,0.66
2010-01-03 01:00:00,Longdong,6.5,360.0,17.6,0.64
2010-01-03 02:00:00,Longdong,5.3,360.0,18.2,1.01
