SID,NAME,ISO_TIME,LAT,LON,USA_WIND,dist_km
2010018N07113,UNNAMED,2010-01-18 00:00:00,6.9,113.2,15,2106.5790430628854
2010018N07113,UNNAMED,2010-01-18 03:00:00,7.0,113.1,18,2101.0509304250436
2010018N07113,UNNAMED,2010-01-18 06:00:00,7.1,113.0,20,2095.6174865077946
2010018N07113,UNNAMED,2010-01-18 09:00:00,7.3,112.9,23,2080.247304867915
2010018N07113,UNNAMED,2010-01-18 12:00:00,7.5,112.7,25,2069.9239970661083
2010018N07113,UNNAMED,2010-01-18 15:00:00,7.5,112.2,25,2094.9460109462884
2010018N07113,UNNAMED,2010-01-18 18:00:00,7.5,111.7,25,2121.009836502168
2010018N07113,UNNAMED,2010-01-18 21:00:00,7.6,111.2,28,2138.4541135775467
2010018N07113,UNNAMED,2010-01-19 00:00:00,7.8,110.8,30,2141.8747951067917
2010018N07113,UNNAMED,2010-01-19 03:00:00,8.0,110.3,30,2152.269651184983
2010018N07113,UNNAMED,2010-01-19 06:00:00,8.2,109.9,30,2157.93011258633
2010018N07113,UNNAMED,2010-01-19 09:00:00,8.5,109.5,30,2155.5157793898616
2010018N07113,UNNAMED,2010-01-19 12:00:00,8.8,109.1,30,2154.3826092041377
2010018N07113,UNNAMED,2010-01-19 15:00:00,9.1,108.7,28,2154.5279262594054
2010018N07113,UNNAMED,2010-01-19 18:00:00,9.4,108.3,25,2155.9466826041676
2010018N07113,UNNAMED,2010-01-19 21:00:00,9.7,108.0,25,2151.495981010855
2010018N07113,UNNAMED,2010-01-20 00:00:00,10.1,107.6,25,2146.982462205984
2010018N07113,UNNAMED,2010-01-20 03:00:00,10.5,107.0,23,2159.21947698482
2010018N07113,UNNAMED,2010-01-20 06:00:00,10.9,106.2,20,2189.6687733134677
2010078N03153,OMAIS,2010-03-19 06:00:00,3.2,153.3,15,4111.8452400284295
2010078N03153,OMAIS,2010-03-19 09:00:00,2.9,152.8,15,4088.0968937096154
2010078N03153,OMAIS,2010-03-19 12:00:00,2.7,152.2,15,4049.46081865449
2010078N03153,OMAIS,2010-03-19 15:00:00,2.7,151.6,18,3997.4960113247757
2010078N03153,OMAIS,2010-03-19 18:00:00,2.9,151.0,20,3931.7767096696207
2010078N03153,OMAIS,2010-03-19 21:00:00,3.1,150.4,20,3866.1913429248298
2010078N03153,OMAIS,2010-03-20 00:00:00,3.3,149.9,20,3809.2706692980028
2010078N03153,OMAIS,2010-03-20 03:00:00,3.5,149.3,20,3743.9320662697714
2010078N03153,OMAIS,2010-03-20 06:00:00,3.8,148.7,20,3671.5451964453946
2010078N03153,OMAIS,2010-03-20 09:00:00,4.1,148.1,20,3599.2387090195193
2010078N03153,OMAIS,2010-03-20 12:00:00,4.3,147.6,20,3542.674307077051
2010078N03153,OMAIS,2010-03-20 15:00:00,4.4,147.1,23,3493.5054632688625
2010078N03153,OMAIS,2010-03-20 18:00:00,4.5,146.6,25,3444.5259857850024
2010078N03153,OMAIS,2010-03-20 21:00:00,4.6,146.2,25,3404.0017747680163
2010078N03153,OMAIS,2010-03-21 00:00:00,4.7,145.8,25,3363.5900931347423
2010078N03153,OMAIS,2010-03-21 03:00:00,4.8,145.5,23,3331.487062516275
2010078N03153,OMAIS,2010-03-21 06:00:00,5.0,145.2,20,3291.9375588267076
2010078N03153,OMAIS,2010-03-21 09:00:00,5.2,144.9,20,3252.4026008677047
2010078N03153,OMAIS,2010-03-21 12:00:00,5.5,144.6,20,3205.3835179187704
2010078N03153,OMAIS,2010-03-21 15:00:00,6.1,144.5,23,3152.527521320561
2010078N03153,OMAIS,2010-03-21 18:00:00,6.7,144.3,25,3091.874701454799
2010078N03153,OMAIS,2010-03-21 21:00:00,7.1,143.9,28,3029.3737702817593
2010078N03153,OMAIS,2010-03-22 00:00:00,7.4,143.5,30,2974.182159048957
2010078N03153,OMAIS,2010-03-22 03:00:00,7.7,143.1,30,2919.0141072287356
2010078N03153,OMAIS,2010-03-22 06:00:00,7.9,142.6,30,2862.871888747653
2010078N03153,OMAIS,2010-03-22 09:00:00,8.2,142.2,30,2807.7637903285563
2010078N03153,OMAIS,2010-03-22 12:00:00,8.4,141.7,30,2751.7806498026453
2010078N03153,OMAIS,2010-03-22 15:00:00,8.6,141.2,33,2695.9272333561908
2010078N03153,OMAIS,2010-03-22 18:00:00,8.9,140.6,35,2624.6021951000403
2010078N03153,OMAIS,2010-03-22 21:00:00,9.2,140.1,35,2561.528423095304
2010078N03153,OMAIS,2010-03-23 00:00:00,9.5,139.5,35,2490.4526484508146
2010078N03153,OMAIS,2010-03-23 03:00:00,9.7,139.1,35,2443.157602731689
2010078N03153,OMAIS,2010-03-23 06:00:00,10.0,138.6,35,2380.3424840069397
2010078N03153,OMAIS,2010-03-23 09:00:00,10.3,138.0,35,2309.6624435346253
2010078N03153,OMAIS,2010-03-23 12:00:00,10.5,137.4,35,2246.8903335623504
2010078N03153,OMAIS,2010-03-23 15:00:00,10.6,136.9,35,2200.0561938276987
2010078N03153,OMAIS,2010-03-23 18:00:00,10.8,136.4,35,2145.6878155850477
2010078N03153,OMAIS,2010-03-23 21:00:00,11.1,135.9,35,2083.598921421903
2010078N03153,OMAIS,2010-03-24 00:00:00,11.5,135.5,35,2021.3044063093773
2010078N03153,OMAIS,2010-03-24 03:00:00,12.0,135.0,38,1943.4978837474314
2010078N03153,OMAIS,2010-03-24 06:00:00,12.5,134.5,40,1865.7631307436366
2010078N03153,OMAIS,2010-03-24 09:00:00,12.9,133.9,40,1788.3859041591277
2010078N03153,OMAIS,2010-03-24 12:00:00,13.4,133.4,40,1710.7843922176953
2010078N03153,OMAIS,2010-03-24 15:00:00,13.7,133.0,45,1656.6820654005705
2010078N03153,OMAIS,2010-03-24 18:00:00,14.1,132.7,50,1602.2778119473305
2010078N03153,OMAIS,2010-03-24 21:00:00,14.5,132.4,50,1547.967153563763
2010078N03153,OMAIS,2010-03-25 00:00:00,14.8,132.2,50,1509.2176482074722
2010078N03153,OMAIS,2010-03-25 03:00:00,15.2,132.0,48,1462.8339173304953
2010078N03153,OMAIS,2010-03-25 06:00:00,15.5,131.9,45,1432.1149127179401
2010078N03153,OMAIS,2010-03-25 09:00:00,15.8,131.9,40,1409.5358042310988
2010078N03153,OMAIS,2010-03-25 12:00:00,16.2,131.9,35,1380.0988190416558
2010078N03153,OMAIS,2010-03-25 15:00:00,16.5,131.9,33,1358.5496149690962
2010078N03153,OMAIS,2010-03-25 18:00:00,16.8,131.9,30,1337.4778189134602
2010078N03153,OMAIS,2010-03-25 21:00:00,17.1,131.8,30,1308.4902387310876
2010078N03153,OMAIS,2010-03-26 00:00:00,17.4,131.7,30,1279.8237932260922
2010078N03153,OMAIS,2010-03-26 03:00:00,17.6,131.8,30,1275.1895279373177
2010078N03153,OMAIS,2010-03-26 06:00:00,17.8,131.9,30,1270.9873808265975
2010078N03153,OMAIS,2010-03-26 09:00:00,18.0,132.0, ,1267.2211234094416
2010078N03153,OMAIS,2010-03-26 12:00:00,18.2,132.2, ,1272.7986564637088
2010078N03153,OMAIS,2010-03-26 15:00:00,18.6,132.4, ,1267.6570502653308
2010078N03153,OMAIS,2010-03-26 18:00:00,18.7,132.6, ,1280.3802645436465
2010191N12138,CONSON,2010-07-10 06:00:00,11.8,137.6,15,2165.126061309618
2010191N12138,CONSON,2010-07-10 09:00:00,12.1,137.1,15,2102.2219338916957
2010191N12138,CONSON,2010-07-10 12:00:00,12.3,136.6,15,2046.7730332846215
2010191N12138,CONSON,2010-07-10 15:00:00,12.4,136.1,18,1998.9693640877551
2010191N12138,CONSON,2010-07-10 18:00:00,12.5,135.6,20,1951.516774287909
2010191N12138,CONSON,2010-07-10 21:00:00,12.6,135.1,20,1904.4398086684337
2010191N12138,CONSON,2010-07-11 00:00:00,12.8,134.7,20,1857.7594389437477
2010191N12138,CONSON,2010-07-11 03:00:00,13.0,134.3,23,1811.187313834673
2010191N12138,CONSON,2010-07-11 06:00:00,13.3,133.9,25,1756.912518995022
2010191N12138,CONSON,2010-07-11 09:00:00,13.6,133.4,28,1695.0177569870107
2010191N12138,CONSON,2010-07-11 12:00:00,13.8,132.8,30,1633.6326863362947
2010191N12138,CONSON,2010-07-11 15:00:00,14.0,132.3,35,1580.1948628935404
2010191N12138,CONSON,2010-07-11 18:00:00,14.1,131.8,40,1535.2707564551467
2010191N12138,CONSON,2010-07-11 21:00:00,14.2,131.1,45,1476.778946427481
2010191N12138,CONSON,2010-07-12 00:00:00,14.3,130.3,50,1413.047259408292
2010191N12138,CONSON,2010-07-12 03:00:00,14.2,129.8,53,1388.8017445485298
2010191N12138,CONSON,2010-07-12 06:00:00,14.2,129.2,55,1350.9036797089284
2010191N12138,CONSON,2010-07-12 09:00:00,14.2,128.5,58,1309.1249815256544
2010191N12138,CONSON,2010-07-12 12:00:00,14.3,127.7,60,1255.2226492989253
2010191N12138,CONSON,2010-07-12 15:00:00,14.3,127.1,65,1224.5398971877707
2010191N12138,CONSON,2010-07-12 18:00:00,14.3,126.5,70,1196.3798942743852
2010191N12138,CONSON,2010-07-12 21:00:00,14.3,125.7,73,1163.0724920270325
2010191N12138,CONSON,2010-07-13 00:00:00,14.3,124.9,75,1134.9981342000247
2010191N12138,CONSON,2010-07-13 03:00:00,14.3,124.2,70,1115.0388801973963
2010191N12138,CONSON,2010-07-13 06:00:00,14.3,123.5,65,1099.625873023253
2010191N12138,CONSON,2010-07-13 09:00:00,14.4,122.9,63,1079.1409194587518
2010191N12138,CONSON,2010-07-13 12:00:00,14.5,122.3,60,1062.1162515719777
2010191N12138,CONSON,2010-07-13 15:00:00,14.4,121.7,55,1070.952835130249
2010191N12138,CONSON,2010-07-13 18:00:00,14.4,121.1,50,1072.3833510558507
2010191N12138,CONSON,2010-07-13 21:00:00,14.5,120.3,53,1068.9709634969927
2010191N12138,CONSON,2010-07-14 00:00:00,14.8,119.7,55,1046.2088506629289
2010191N12138,CONSON,2010-07-14 03:00:00,15.1,119.0,53,1030.580202240576
2010191N12138,CONSON,2010-07-14 06:00:00,15.4,118.5,50,1014.0628248629628
2010191N12138,CONSON,2010-07-14 09:00:00,15.7,118.0,50,1001.0601373338742
2010191N12138,CONSON,2010-07-14 12:00:00,16.0,117.6,50,987.2019374822685
2010191N12138,CONSON,2010-07-14 15:00:00,16.2,116.9,53,1000.9347288765532
2010191N12138,CONSON,2010-07-14 18:00:00,16.2,116.2,55,1038.8749372664258
